id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
eZzz0bu7FnMtvWAS6RL7RQ,pizza-di-paolo-sioux-falls,Pizza di Paolo,https://s3-media4.fl.yelpcdn.com/bphoto/bKlcr9fvREOEdPfU5lBicA/o.jpg,False,https://www.yelp.com/biz/pizza-di-paolo-sioux-falls?adjust_creative=svPiIA0fP5C9T0luNYv_TQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=svPiIA0fP5C9T0luNYv_TQ,26,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 43.5236937890844, 'longitude': -96.7308586660097}",[],"{'address1': '2300 S Minnesota Ave', 'address2': '', 'address3': None, 'city': 'Sioux Falls', 'zip_code': '57105', 'country': 'US', 'state': 'SD', 'display_address': ['2300 S Minnesota Ave', 'Sioux Falls, SD 57105']}",+16052713935,(605) 271-3935,1121.9402293932283,
RqzB5GHdyKbMiF5FPLZ8ug,pizza-cheeks-sioux-falls,Pizza Cheeks,https://s3-media3.fl.yelpcdn.com/bphoto/ESRDU8heqTfkEJjMAV2BpQ/o.jpg,False,https://www.yelp.com/biz/pizza-cheeks-sioux-falls?adjust_creative=svPiIA0fP5C9T0luNYv_TQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=svPiIA0fP5C9T0luNYv_TQ,20,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.5,"{'latitude': 43.54656, 'longitude': -96.72637}",[],"{'address1': '120 S Phillips Ave', 'address2': None, 'address3': '', 'city': 'Sioux Falls', 'zip_code': '57104', 'country': 'US', 'state': 'SD', 'display_address': ['120 S Phillips Ave', 'Sioux Falls, SD 57104']}",+16052710974,(605) 271-0974,1688.3541924853469,
ANokXQx7626HwIzvAXlYvQ,sunny-s-pizzeria-sioux-falls,Sunny’s Pizzeria,https://s3-media2.fl.yelpcdn.com/bphoto/DufznS1RKNFuaGqWNTFFNA/o.jpg,False,https://www.yelp.com/biz/sunny-s-pizzeria-sioux-falls?adjust_creative=svPiIA0fP5C9T0luNYv_TQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=svPiIA0fP5C9T0luNYv_TQ,10,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 43.529316, 'longitude': -96.73901}",['delivery'],"{'address1': '1801 S Walts Ave', 'address2': '', 'address3': None, 'city': 'Sioux Falls', 'zip_code': '57105', 'country': 'US', 'state': 'SD', 'display_address': ['1801 S Walts Ave', 'Sioux Falls, SD 57105']}",+16052714770,(605) 271-4770,483.32980631745653,
ttNnwqAnfl1eVwzS8MOPAA,mackenzie-river-pizza-grill-and-pub-sioux-falls-3,"MacKenzie River Pizza, Grill & Pub",https://s3-media2.fl.yelpcdn.com/bphoto/TK9MhKBimNvHUdtfju3UMA/o.jpg,False,https://www.yelp.com/biz/mackenzie-river-pizza-grill-and-pub-sioux-falls-3?adjust_creative=svPiIA0fP5C9T0luNYv_TQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=svPiIA0fP5C9T0luNYv_TQ,249,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 43.54484821914388, 'longitude': -96.72808069999999}","['delivery', 'pickup']","{'address1': '236 S Main Ave', 'address2': '', 'address3': '', 'city': 'Sioux Falls', 'zip_code': '57104', 'country': 'US', 'state': 'SD', 'display_address': ['236 S Main Ave', 'Sioux Falls, SD 57104']}",+16052755566,(605) 275-5566,1456.492717739413,$$
bJ4k4Ytl6Rb34CCMweuUOQ,tomacellis-pizza-and-pasta-sioux-falls,Tomacelli's Pizza & Pasta,https://s3-media3.fl.yelpcdn.com/bphoto/P49luidurOpUvLZK5A_OGA/o.jpg,False,https://www.yelp.com/biz/tomacellis-pizza-and-pasta-sioux-falls?adjust_creative=svPiIA0fP5C9T0luNYv_TQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=svPiIA0fP5C9T0luNYv_TQ,60,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",3.5,"{'latitude': 43.54356, 'longitude': -96.75685}",['delivery'],"{'address1': '2309 W 12th St', 'address2': '', 'address3': '', 'city': 'Sioux Falls', 'zip_code': '57104', 'country': 'US', 'state': 'SD', 'display_address': ['2309 W 12th St', 'Sioux Falls, SD 57104']}",+16053358500,(605) 335-8500,2034.1209827156854,$
zIyZSt1K48WJ8MjVqOJlxw,papa-woodys-wood-fired-pizza-sioux-falls,Papa Woody's Wood Fired Pizza,https://s3-media3.fl.yelpcdn.com/bphoto/S4PeLK_dxIP7mc7tPqAhOg/o.jpg,False,https://www.yelp.com/biz/papa-woodys-wood-fired-pizza-sioux-falls?adjust_creative=svPiIA0fP5C9T0luNYv_TQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=svPiIA0fP5C9T0luNYv_TQ,20,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",3.5,"{'latitude': 43.55624142040631, 'longitude': -96.72718821518825}","['delivery', 'pickup']","{'address1': '421 N Phillips Ave', 'address2': '', 'address3': None, 'city': 'Sioux Falls', 'zip_code': '57104', 'country': 'US', 'state': 'SD', 'display_address': ['421 N Phillips Ave', 'Sioux Falls, SD 57104']}",+16052710519,(605) 271-0519,2672.256682398403,$$
2pr4-s7NJb-ucT9wrzyVYg,marcos-pizza-sioux-falls,Marco's Pizza,https://s3-media1.fl.yelpcdn.com/bphoto/WPOAKnY4hMPNHOVnokpDgg/o.jpg,False,https://www.yelp.com/biz/marcos-pizza-sioux-falls?adjust_creative=svPiIA0fP5C9T0luNYv_TQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=svPiIA0fP5C9T0luNYv_TQ,42,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.0,"{'latitude': 43.499904492721825, 'longitude': -96.77274533417616}","['delivery', 'pickup']","{'address1': '5007 S Louise Ave', 'address2': '', 'address3': '', 'city': 'Sioux Falls', 'zip_code': '57108', 'country': 'US', 'state': 'SD', 'display_address': ['5007 S Louise Ave', 'Sioux Falls, SD 57108']}",+16052754949,(605) 275-4949,4731.2448045969895,$$
Zxyi_zixIxHZt0axAccg1A,fiero-pizza-sioux-falls,Fiero Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/5C-fMHLxt36oSV6IHV7HFQ/o.jpg,False,https://www.yelp.com/biz/fiero-pizza-sioux-falls?adjust_creative=svPiIA0fP5C9T0luNYv_TQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=svPiIA0fP5C9T0luNYv_TQ,28,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.0,"{'latitude': 43.5455622368475, 'longitude': -96.7267637783829}","['delivery', 'pickup']","{'address1': '212 S Phillips Ave', 'address2': '', 'address3': '', 'city': 'Sioux Falls', 'zip_code': '57104', 'country': 'US', 'state': 'SD', 'display_address': ['212 S Phillips Ave', 'Sioux Falls, SD 57104']}",+16053380505,(605) 338-0505,1575.5179650301488,$$
D0FEBaMapxwn7qW4ZQV6yw,pizza-shop-sioux-falls,Pizza Shop,https://s3-media3.fl.yelpcdn.com/bphoto/XUh32N6cRfj43XkRUvTiUw/o.jpg,False,https://www.yelp.com/biz/pizza-shop-sioux-falls?adjust_creative=svPiIA0fP5C9T0luNYv_TQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=svPiIA0fP5C9T0luNYv_TQ,6,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.0,"{'latitude': 43.51355828876692, 'longitude': -96.7748293}",[],"{'address1': '4013 W 41st St', 'address2': '', 'address3': None, 'city': 'Sioux Falls', 'zip_code': '57106', 'country': 'US', 'state': 'SD', 'display_address': ['4013 W 41st St', 'Sioux Falls, SD 57106']}",+16054992111,(605) 499-2111,3809.6067962034017,
ZdvYVDZdla4OqR48tshaZg,roundhouse-brew-pub-sioux-falls,Roundhouse Brew Pub,https://s3-media4.fl.yelpcdn.com/bphoto/0GohniKoihEPiqktX_V9gw/o.jpg,False,https://www.yelp.com/biz/roundhouse-brew-pub-sioux-falls?adjust_creative=svPiIA0fP5C9T0luNYv_TQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=svPiIA0fP5C9T0luNYv_TQ,20,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,"{'latitude': 43.488879, 'longitude': -96.70525915415872}",[],"{'address1': '1515 E 69th St', 'address2': '', 'address3': None, 'city': 'Sioux Falls', 'zip_code': '57108', 'country': 'US', 'state': 'SD', 'display_address': ['1515 E 69th St', 'Sioux Falls, SD 57108']}",+16052712050,(605) 271-2050,5503.664848758522,$$
